Id,gender,age,nationality,sport,ind-university_grade,ind-debateclub,ind-programming_exp,ind-international_exp,ind-entrepeneur_exp,ind-languages,ind-exact_study,ind-degree,company,decision
x5572d,1,26,Dutch,Football,66,0,0,0,1,2,1,1,B,False
x3158e,1,27,Belgian,Football,55,1,0,0,1,3,0,2,B,True
x9413d,0,26,Dutch,Football,66,1,1,0,0,2,0,1,B,False
x9400d,1,23,Dutch,Tennis,67,0,0,0,1,2,1,1,B,False
x5254f,0,26,Dutch,Golf,70,0,1,0,0,1,1,2,B,False
x7432e,1,24,Dutch,Football,62,1,0,1,1,3,0,2,B,True
x3386e,1,32,Dutch,Golf,60,0,1,0,0,1,0,1,B,False
x4103d,0,28,Belgian,Football,66,0,1,0,0,1,1,2,B,False
x8601c,0,21,Dutch,Tennis,71,0,1,0,0,2,1,1,B,False
x1131d,0,26,Belgian,Tennis,69,0,1,0,0,1,1,2,B,False
x9209g,1,28,Dutch,Football,64,0,1,0,0,1,1,1,B,False
x6219d,1,25,Dutch,Football,65,0,0,0,0,2,1,2,B,False
x4467c,1,27,Dutch,Football,62,0,0,0,0,1,0,1,B,False
x8354c,0,24,Dutch,Football,63,0,1,0,1,2,0,1,B,False
x9047d,0,22,Dutch,Tennis,63,0,1,0,0,1,1,1,B,False
x9785c,0,30,Dutch,Golf,69,0,1,0,0,0,1,3,B,False
x1898c,1,24,Dutch,Football,62,1,0,1,1,2,0,2,B,True
x6531f,0,26,Dutch,Tennis,63,0,1,0,0,1,0,1,B,False
x1411c,1,25,Dutch,Football,54,1,0,1,0,2,0,2,B,True
x7434g,0,22,Dutch,Golf,59,0,0,0,0,2,0,1,B,True
x3534f,1,27,Dutch,Golf,67,0,0,1,0,1,1,2,B,False
x8602e,1,29,Dutch,Tennis,67,1,0,0,1,3,1,1,B,True
x5574c,0,21,Dutch,Tennis,63,0,0,0,0,1,1,1,B,False
x6122c,1,25,Dutch,Tennis,71,0,1,0,0,1,1,2,B,False
x6180d,1,24,German,Football,54,0,0,0,0,2,0,1,B,True
x3086b,0,28,Dutch,Football,66,0,1,0,0,1,1,1,B,False
x7942f,0,30,Dutch,Tennis,55,1,0,0,1,3,0,1,B,True
x7863g,0,27,Dutch,Tennis,60,0,0,1,0,1,0,1,B,False
x5142a,1,27,Dutch,Football,59,1,0,0,1,3,0,1,B,True
x4535f,1,27,Dutch,Golf,61,0,0,1,0,2,0,2,B,False
x5186a,1,28,Dutch,Football,53,1,0,0,0,2,0,1,B,True
x9677c,0,26,Dutch,Football,72,0,1,0,0,2,1,2,B,True
x7108e,1,27,Dutch,Football,60,0,0,0,0,2,1,1,B,False
x2399a,1,26,Dutch,Football,58,0,0,0,0,2,0,1,B,False
x1462e,1,29,Dutch,Golf,62,0,0,0,0,0,0,2,B,False
x9008e,1,32,Dutch,Golf,67,0,1,1,0,1,0,2,B,False
x7186f,1,21,Belgian,Football,59,0,0,0,0,1,0,1,B,False
x4181d,1,30,Dutch,Golf,57,0,0,1,0,0,0,2,B,False
x7062e,0,24,Dutch,Football,55,1,0,0,1,2,0,1,B,True
x9391f,0,27,Dutch,Football,64,1,1,0,0,2,1,1,B,False
x7906g,1,25,Dutch,Tennis,63,0,0,0,0,2,0,2,B,False
x9083g,1,27,German,Football,62,0,0,1,0,0,1,1,B,False
x1869f,0,25,German,Tennis,59,0,0,0,1,2,0,1,B,False
x6846e,1,23,Dutch,Football,63,0,0,0,0,1,1,1,B,False
x6876e,0,26,German,Tennis,55,0,0,0,0,1,0,1,B,False
x6001c,1,26,Dutch,Golf,54,0,0,1,0,0,0,1,B,False
x7152c,1,29,Dutch,Football,64,1,0,0,1,3,1,1,B,True
x2617b,0,27,Dutch,Golf,61,0,0,0,0,1,0,1,B,False
x1979g,1,21,Dutch,Golf,64,0,0,0,0,1,1,2,B,False
x4370g,1,30,Belgian,Football,62,0,0,0,0,2,0,1,B,True
x6594f,0,27,Dutch,Golf,58,0,0,0,0,1,0,1,B,False
x1580b,1,28,Dutch,Football,55,1,0,0,1,3,0,1,B,True
x5344d,1,27,Dutch,Football,66,0,0,0,1,2,1,1,B,False
x9050a,1,25,Dutch,Golf,72,1,1,0,0,2,1,1,B,False
x6388b,1,26,Dutch,Football,66,0,0,0,0,2,1,1,B,False
x3582c,1,28,Dutch,Football,61,1,0,0,1,3,0,1,B,True
