param_n_neighbors,param_metric,param_weights,mean_test_score,std_test_score,rank_test_score
1,euclidean,uniform,0.7770719903206291,0.0521593994896537,37
1,euclidean,distance,0.7770719903206291,0.0521593994896537,37
2,euclidean,uniform,0.7981246218995766,0.030731526069160738,29
2,euclidean,distance,0.7981246218995766,0.030731526069160738,29
3,euclidean,uniform,0.836237144585602,0.013924086998974766,5
3,euclidean,distance,0.836237144585602,0.013924086998974766,5
4,euclidean,uniform,0.7944948578342407,0.019591387915507442,33
4,euclidean,distance,0.7944948578342407,0.019591387915507442,33
5,euclidean,uniform,0.8398064125831821,0.019667828942495906,3
5,euclidean,distance,0.8467634603750757,0.01978101159830369,1
6,euclidean,uniform,0.8295220810647308,0.040584520985300784,19
6,euclidean,distance,0.8329703569267999,0.03472305654922476,9
7,euclidean,uniform,0.8260133091349063,0.03853480801354071,27
7,euclidean,distance,0.8329703569267999,0.03472305654922476,9
8,euclidean,uniform,0.8295220810647308,0.040584520985300784,19
8,euclidean,distance,0.8329703569267999,0.03472305654922476,9
9,euclidean,uniform,0.8295220810647308,0.040584520985300784,19
9,euclidean,distance,0.8329703569267999,0.03472305654922476,9
10,euclidean,uniform,0.8295220810647308,0.040584520985300784,19
10,euclidean,distance,0.8329703569267999,0.03472305654922476,9
1,manhattan,uniform,0.7770719903206291,0.0521593994896537,37
1,manhattan,distance,0.7770719903206291,0.0521593994896537,37
2,manhattan,uniform,0.7981246218995766,0.030731526069160738,29
2,manhattan,distance,0.7981246218995766,0.030731526069160738,29
3,manhattan,uniform,0.836237144585602,0.013924086998974766,5
3,manhattan,distance,0.836237144585602,0.013924086998974766,5
4,manhattan,uniform,0.7944948578342407,0.019591387915507442,33
4,manhattan,distance,0.7944948578342407,0.019591387915507442,33
5,manhattan,uniform,0.8398064125831821,0.019667828942495906,3
5,manhattan,distance,0.8467634603750757,0.01978101159830369,1
6,manhattan,uniform,0.8295220810647308,0.040584520985300784,19
6,manhattan,distance,0.8329703569267999,0.03472305654922476,9
7,manhattan,uniform,0.8260133091349063,0.03853480801354071,27
7,manhattan,distance,0.8329703569267999,0.03472305654922476,9
8,manhattan,uniform,0.8295220810647308,0.040584520985300784,19
8,manhattan,distance,0.8329703569267999,0.03472305654922476,9
9,manhattan,uniform,0.8295220810647308,0.040584520985300784,19
9,manhattan,distance,0.8329703569267999,0.03472305654922476,9
10,manhattan,uniform,0.8295220810647308,0.040584520985300784,19
10,manhattan,distance,0.8329703569267999,0.03472305654922476,9
