param_criterion,param_max_depth,param_min_samples_split,param_min_samples_leaf,mean_test_score,std_test_score,rank_test_score
gini,1,2,2,0.8052026618269812,0.041589011664457554,241
gini,1,5,2,0.8052026618269812,0.041589011664457554,241
gini,1,10,2,0.8052026618269812,0.041589011664457554,241
gini,1,20,2,0.8052026618269812,0.041589011664457554,241
gini,1,40,2,0.8052026618269812,0.041589011664457554,241
gini,1,80,2,0.8052026618269812,0.041589011664457554,241
gini,1,2,5,0.8052026618269812,0.041589011664457554,241
gini,1,5,5,0.8052026618269812,0.041589011664457554,241
gini,1,10,5,0.8052026618269812,0.041589011664457554,241
gini,1,20,5,0.8052026618269812,0.041589011664457554,241
gini,1,40,5,0.8052026618269812,0.041589011664457554,241
gini,1,80,5,0.8052026618269812,0.041589011664457554,241
gini,1,2,10,0.8052026618269812,0.041589011664457554,241
gini,1,5,10,0.8052026618269812,0.041589011664457554,241
gini,1,10,10,0.8052026618269812,0.041589011664457554,241
gini,1,20,10,0.8052026618269812,0.041589011664457554,241
gini,1,40,10,0.8052026618269812,0.041589011664457554,241
gini,1,80,10,0.8052026618269812,0.041589011664457554,241
gini,1,2,20,0.8052026618269812,0.041589011664457554,241
gini,1,5,20,0.8052026618269812,0.041589011664457554,241
gini,1,10,20,0.8052026618269812,0.041589011664457554,241
gini,1,20,20,0.8052026618269812,0.041589011664457554,241
gini,1,40,20,0.8052026618269812,0.041589011664457554,241
gini,1,80,20,0.8052026618269812,0.041589011664457554,241
gini,1,2,40,0.8052026618269812,0.041589011664457554,241
gini,1,5,40,0.8052026618269812,0.041589011664457554,241
gini,1,10,40,0.8052026618269812,0.041589011664457554,241
gini,1,20,40,0.8052026618269812,0.041589011664457554,241
gini,1,40,40,0.8052026618269812,0.041589011664457554,241
gini,1,80,40,0.8052026618269812,0.041589011664457554,241
gini,1,2,80,0.8052026618269812,0.041589011664457554,241
gini,1,5,80,0.8052026618269812,0.041589011664457554,241
gini,1,10,80,0.8052026618269812,0.041589011664457554,241
gini,1,20,80,0.8052026618269812,0.041589011664457554,241
gini,1,40,80,0.8052026618269812,0.041589011664457554,241
gini,1,80,80,0.8052026618269812,0.041589011664457554,241
gini,2,2,2,0.8189957652752572,0.03973887182843178,153
gini,2,5,2,0.8189957652752572,0.03973887182843178,153
gini,2,10,2,0.8189957652752572,0.03973887182843178,153
gini,2,20,2,0.8189957652752572,0.03973887182843178,153
gini,2,40,2,0.8189957652752572,0.03973887182843178,153
gini,2,80,2,0.8189957652752572,0.03973887182843178,153
gini,2,2,5,0.8189957652752572,0.03973887182843178,153
gini,2,5,5,0.8189957652752572,0.03973887182843178,153
gini,2,10,5,0.8189957652752572,0.03973887182843178,153
gini,2,20,5,0.8189957652752572,0.03973887182843178,153
gini,2,40,5,0.8189957652752572,0.03973887182843178,153
gini,2,80,5,0.8189957652752572,0.03973887182843178,153
gini,2,2,10,0.8189957652752572,0.03973887182843178,153
gini,2,5,10,0.8189957652752572,0.03973887182843178,153
gini,2,10,10,0.8189957652752572,0.03973887182843178,153
gini,2,20,10,0.8189957652752572,0.03973887182843178,153
gini,2,40,10,0.8189957652752572,0.03973887182843178,153
gini,2,80,10,0.8189957652752572,0.03973887182843178,153
gini,2,2,20,0.8189957652752572,0.03973887182843178,153
gini,2,5,20,0.8189957652752572,0.03973887182843178,153
gini,2,10,20,0.8189957652752572,0.03973887182843178,153
gini,2,20,20,0.8189957652752572,0.03973887182843178,153
gini,2,40,20,0.8189957652752572,0.03973887182843178,153
gini,2,80,20,0.8189957652752572,0.03973887182843178,153
gini,2,2,40,0.8225045372050817,0.04374597782127807,37
gini,2,5,40,0.8225045372050817,0.04374597782127807,37
gini,2,10,40,0.8225045372050817,0.04374597782127807,37
gini,2,20,40,0.8225045372050817,0.04374597782127807,37
gini,2,40,40,0.8225045372050817,0.04374597782127807,37
gini,2,80,40,0.8225045372050817,0.04374597782127807,37
gini,2,2,80,0.8052026618269812,0.041589011664457554,241
gini,2,5,80,0.8052026618269812,0.041589011664457554,241
gini,2,10,80,0.8052026618269812,0.041589011664457554,241
gini,2,20,80,0.8052026618269812,0.041589011664457554,241
gini,2,40,80,0.8052026618269812,0.041589011664457554,241
gini,2,80,80,0.8052026618269812,0.041589011664457554,241
gini,3,2,2,0.8225045372050817,0.028606005585898254,37
gini,3,5,2,0.8225045372050817,0.028606005585898254,37
gini,3,10,2,0.8225045372050817,0.028606005585898254,37
gini,3,20,2,0.8225045372050817,0.028606005585898254,37
gini,3,40,2,0.8225045372050817,0.028606005585898254,37
gini,3,80,2,0.8189957652752572,0.03973887182843178,153
gini,3,2,5,0.8225045372050817,0.028606005585898254,37
gini,3,5,5,0.8225045372050817,0.028606005585898254,37
gini,3,10,5,0.8225045372050817,0.028606005585898254,37
gini,3,20,5,0.8225045372050817,0.028606005585898254,37
gini,3,40,5,0.8225045372050817,0.028606005585898254,37
gini,3,80,5,0.8189957652752572,0.03973887182843178,153
gini,3,2,10,0.8225045372050817,0.028606005585898254,37
gini,3,5,10,0.8225045372050817,0.028606005585898254,37
gini,3,10,10,0.8225045372050817,0.028606005585898254,37
gini,3,20,10,0.8225045372050817,0.028606005585898254,37
gini,3,40,10,0.8225045372050817,0.028606005585898254,37
gini,3,80,10,0.8189957652752572,0.03973887182843178,153
gini,3,2,20,0.8225045372050817,0.028606005585898254,37
gini,3,5,20,0.8225045372050817,0.028606005585898254,37
gini,3,10,20,0.8225045372050817,0.028606005585898254,37
gini,3,20,20,0.8225045372050817,0.028606005585898254,37
gini,3,40,20,0.8225045372050817,0.028606005585898254,37
gini,3,80,20,0.8189957652752572,0.03973887182843178,153
gini,3,2,40,0.8225045372050817,0.04374597782127807,37
gini,3,5,40,0.8225045372050817,0.04374597782127807,37
gini,3,10,40,0.8225045372050817,0.04374597782127807,37
gini,3,20,40,0.8225045372050817,0.04374597782127807,37
gini,3,40,40,0.8225045372050817,0.04374597782127807,37
gini,3,80,40,0.8225045372050817,0.04374597782127807,37
gini,3,2,80,0.8052026618269812,0.041589011664457554,241
gini,3,5,80,0.8052026618269812,0.041589011664457554,241
gini,3,10,80,0.8052026618269812,0.041589011664457554,241
gini,3,20,80,0.8052026618269812,0.041589011664457554,241
gini,3,40,80,0.8052026618269812,0.041589011664457554,241
