param_n_neighbors,param_metric,param_weights,mean_test_score,std_test_score,rank_test_score
1,euclidean,uniform,0.7842105263157894,0.03608913698250751,25
1,euclidean,distance,0.7842105263157894,0.03608913698250751,25
2,euclidean,uniform,0.7843315184513007,0.06175578930602477,22
2,euclidean,distance,0.8085904416212946,0.04452050266849208,11
3,euclidean,uniform,0.7843920145190563,0.07579227823929247,21
3,euclidean,distance,0.8086509376890503,0.04409312661050335,10
4,euclidean,uniform,0.7773139745916516,0.06839063737041862,32
4,euclidean,distance,0.7947973381730187,0.05178852086661841,17
5,euclidean,uniform,0.7912280701754386,0.06813758882843583,19
5,euclidean,distance,0.8121597096188747,0.0497438090770607,6
6,euclidean,uniform,0.7808227465214761,0.05983902114651254,29
6,euclidean,distance,0.8052631578947368,0.05410675769505563,13
7,euclidean,uniform,0.7737447065940714,0.06178393236362766,34
7,euclidean,distance,0.8191167574107684,0.0435857270094906,2
8,euclidean,uniform,0.7739261947973382,0.06075371631908132,33
8,euclidean,distance,0.8191167574107683,0.0435857270094906,3
9,euclidean,uniform,0.7704174228675136,0.07135613129098375,37
9,euclidean,distance,0.8191772534785239,0.04984538250853593,1
10,euclidean,uniform,0.7807622504537205,0.05128639553155734,30
10,euclidean,distance,0.8157289776164548,0.05320573271312498,4
1,manhattan,uniform,0.7842105263157894,0.03608913698250751,25
1,manhattan,distance,0.7842105263157894,0.03608913698250751,25
2,manhattan,uniform,0.7843315184513007,0.06175578930602477,22
2,manhattan,distance,0.8085904416212946,0.04452050266849208,11
3,manhattan,uniform,0.7879007864488807,0.07553980009180139,20
3,manhattan,distance,0.8121597096188747,0.04588139195610049,6
4,manhattan,uniform,0.7843315184513007,0.06655337358531391,22
4,manhattan,distance,0.7947973381730187,0.05178852086661841,17
5,manhattan,uniform,0.7807622504537205,0.06504449881302467,30
5,manhattan,distance,0.8052631578947368,0.05410675769505563,13
6,manhattan,uniform,0.7704779189352692,0.07702515574299973,35
6,manhattan,distance,0.8052631578947368,0.05410675769505563,13
7,manhattan,uniform,0.7702359346642468,0.04642875155145017,39
7,manhattan,distance,0.8156079854809437,0.03926078277759102,5
8,manhattan,uniform,0.7704779189352692,0.0629526627264439,35
8,manhattan,distance,0.8087114337568057,0.04518922633514865,8
9,manhattan,uniform,0.7633998790078644,0.06544108826434632,40
9,manhattan,distance,0.8087114337568057,0.04518922633514865,8
10,manhattan,uniform,0.7704174228675136,0.06800360796804063,37
10,manhattan,distance,0.8052631578947368,0.049346550133220785,13
